code	gruppe	geschl	gebjahr	alter	abi	kinder	job	berlin	wohnort.alt	uni1	uni2	uni3	uni4	uni5	uni6	uni7	uni8	stim1	stim2	stim3	stim4	stim5	stim6	stim7	stim8	stim9	stim10	stim11	stim12	lz13	lz14	lz15	lz16	lz17	prok	extra	vertraeg	gewiss	neuro	intell	gs.1	gs.2	wm.1	wm.2	ru.1	ru.2	lz.1	lz.2	zuf.inh.1	zuf.inh.2	zuf.bed.1	zuf.bed.2	zuf.bel.1	zuf.bel.2
1	2	-9	1970	38	1992	1	2	1	2	1	1	1	1	1	1	0	0	4	2	4	2	4	2	3	3	3	2	3	2	4	4	5	5	4	3	3.75	3.75	3.5	2.5	3.75	3.5	-9	2.25	-9	2.25	-9	22	-9	3	-9	2	-9	1.33333333333333	-9
2	3	2	1967	41	1987	1	1	1	3	1	1	1	1	1	1	0	0	4	1	1	1	2	4	4	4	1	3	1	3	7	5	7	6	6	1.8	4	4.5	4	2.5	3.75	4.5	-9	2.5	-9	4.25	-9	31	-9	3.66666666666667	-9	3	-9	2.66666666666667	-9
3	2	1	1989	19	2007	2	1	1	4	0	0	1	1	1	1	0	0	4	3	3	2	1	4	3	4	2	3	2	3	6	5	6	6	4	2.8	4.75	3.75	2.75	3.5	3.75	4	-9	3.5	-9	3.5	-9	27	-9	4	-9	3.33333333333333	-9	3.66666666666667	-9
4	2	2	1976	32	1993	2	2	1	3	0	1	1	0	1	0	0	1	3	3	2	1	4	5	4	3	1	3	1	4	5	4	6	3	2	2.3	3.25	4.75	3	3	4	4	-9	2.5	-9	4.5	-9	20	-9	3	-9	2.33333333333333	-9	2.33333333333333	-9
5	4	-9	1969	39	1987	1	2	1	3	0	0	0	0	0	0	0	0	2	3	4	2	2	1	2	3	3	4	3	2	4	2	4	5	3	3	3	3.75	4.5	3.5	3.75	3	-9	3.75	-9	2	-9	18	-9	-9	-9	-9	-9	-9	-9
6	4	1	1976	32	1995	1	1	1	3	0	1	1	1	1	1	0	0	4	4	2	2	2	3	3	4	2	4	1	4	6	6	6	5	3	2.2	3.5	4	4	2.5	4	4.25	-9	3.75	-9	3.75	-9	26	-9	3.33333333333333	-9	3	-9	2.66666666666667	-9
7	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	1	5	3	4	3	4	3	4	2	3	2	5	6	4	3	4	-9	4	3.5	4.75	5	4	3	-9	1.75	-9	2	-9	22	-9	-9	-9	-9	-9	-9	-9
8	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	3	2	1	2	3	2	4	2	4	3	4	6	5	6	4	1	-9	4	4.5	4	3.75	3.25	4	1	3.75	1.75	3.75	2.25	22	30	-9	3.33333333333333	-9	2	-9	2.66666666666667
9	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	2	3	2	2	3	5	4	1	4	2	3	6	5	6	5	5	-9	2.75	4.25	5	4	4	4	-9	2.75	-9	3.5	-9	27	-9	-9	-9	-9	-9	-9	-9
10	4	2	1985	23	2005	2	2	1	3	0	1	1	1	1	1	1	1	3	2	3	3	3	2	3	3	3	3	3	3	3	4	3	4	2	2.4	3.5	3.5	3.25	3.75	3.75	3	2.75	2.75	3	2.75	2	16	20	3	3	2.33333333333333	2.66666666666667	2.66666666666667	2.66666666666667
11	3	2	1983	25	2002	2	1	1	3	1	1	1	1	1	1	0	0	3	4	3	2	2	2	2	3	2	4	2	3	3	1	4	2	1	3	4	3.25	2	3.25	4	3.5	2.5	4	2.25	3	2	11	10	3	2	1.33333333333333	1	3	2
12	2	1	1985	23	2005	2	2	1	3	1	1	1	1	1	1	1	1	5	4	2	2	2	3	2	4	2	4	2	4	5	7	6	5	4	2.8	2.5	4	3.25	3.5	3.5	4.25	3.5	4	4	3.75	4	27	29	4	4	3.66666666666667	3.33333333333333	3.33333333333333	3.33333333333333
13	2	1	1985	23	2005	2	2	1	3	1	1	1	1	1	0	0	0	4	3	1	1	2	4	3	4	1	4	1	4	6	5	6	6	4	1.1	3	3.75	3.75	3.5	3.25	4.5	-9	3.5	-9	4.5	-9	27	-9	3	-9	2.33333333333333	-9	3.33333333333333	-9
14	2	1	1988	20	2008	2	1	2	2	0	1	1	1	1	1	0	1	3	3	2	2	3	2	4	4	3	3	2	4	6	6	5	6	5	3.3	3.5	3.5	4.25	5	3.5	3.75	-9	2.75	-9	3.25	-9	28	-9	4	-9	3.66666666666667	-9	2.66666666666667	-9
15	3	1	1980	28	2000	2	2	1	3	1	1	1	1	1	1	1	1	4	2	3	2	3	2	4	4	3	3	2	2	5	5	6	4	3	1.7	3.75	4	3.75	3.75	4.25	4	-9	2.5	-9	2.5	-9	23	-9	4	-9	2	-9	2.33333333333333	-9
16	3	1	1983	25	-9	2	1	-9	1	1	0	0	1	1	0	0	-9	4	2	2	1	3	3	2	4	2	3	1	3	5	6	5	6	4	2.7	4	4.25	3.25	3	3.5	4.5	3.25	3	2.75	3.5	3.25	26	24	3.66666666666667	3.66666666666667	1.33333333333333	1	3.33333333333333	3
17	3	2	1983	25	-9	2	1	-9	-9	1	0	0	1	1	0	0	-9	3	2	1	2	4	5	5	3	4	1	3	4	2	5	5	3	4	3.4	3	3.75	1.25	2	4.5	3.25	-9	1.5	-9	4	-9	19	-9	2.33333333333333	-9	1	-9	2.66666666666667	-9
18	1	1	1977	31	1996	2	1	1	1	1	1	1	1	1	0	0	0	4	4	3	1	2	4	2	4	3	4	1	4	6	5	5	6	4	2.9	4.25	4.5	3.25	3.25	4	4.5	4.5	4	4	3.5	4	26	30	3.66666666666667	3.66666666666667	3.33333333333333	3	3	3.66666666666667
19	1	2	1976	32	1994	2	2	1	-9	0	0	0	0	0	0	0	-9	4	2	2	1	2	5	3	5	1	2	1	4	7	6	6	6	6	2.6	2.5	4.75	4	1.5	3.75	4.75	-9	2.75	-9	4.5	-9	31	-9	3	-9	3	-9	2.66666666666667	-9
20	4	1	1985	23	2006	2	2	1	1	1	1	1	1	1	1	0	0	4	3	2	1	3	4	4	4	3	4	2	3	4	3	6	3	2	3.1	4	3.5	2.25	4.5	3.5	4.25	-9	3	-9	3.5	-9	18	-9	3	-9	3	-9	3.66666666666667	-9
21	2	1	1989	19	2008	2	2	1	3	0	1	1	1	1	1	0	0	4	2	3	1	3	5	4	4	1	3	1	5	5	6	7	7	6	1.5	3	4.75	4.75	2.5	4.25	4.5	-9	2.5	-9	4.5	-9	31	-9	4	-9	3.66666666666667	-9	3.33333333333333	-9
22	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	1	2	3	4	4	1	2	4	1	1	1	2	4	1	2	-9	2.75	3.25	3	4	3	3.25	-9	3	-9	3.5	-9	10	-9	-9	-9	-9	-9	-9	-9
23	4	2	1990	18	2008	2	2	1	1	0	1	1	0	1	0	0	1	4	2	3	1	3	5	3	4	2	4	2	4	5	4	5	6	6	2.5	3.25	3.25	2.25	2.5	4.75	4.25	-9	3	-9	4	-9	26	-9	4	-9	3.33333333333333	-9	2.33333333333333	-9
24	3	1	1978	30	1998	2	2	2	3	0	1	0	1	1	1	1	1	4	3	4	1	2	3	3	4	4	1	3	3	6	5	6	6	6	2.5	4	4	3.75	3.25	3.5	4	-9	2.75	-9	2.5	-9	29	-9	3	-9	2.66666666666667	-9	3	-9
25	1	1	1967	41	1980	1	2	2	2	0	1	1	0	1	1	0	0	4	4	2	1	1	4	2	4	1	4	1	4	7	7	7	6	7	1.4	3.25	3.75	4	3.25	4	4.5	4.75	4.25	4.5	4.25	4.5	34	35	3	3.66666666666667	4	3.66666666666667	3.66666666666667	4
26	1	2	1965	43	1980	1	2	2	2	0	0	0	0	1	1	0	0	4	4	3	2	4	4	1	5	1	5	1	4	6	7	7	6	6	1.5	5	4.25	5	2.5	4.5	4.5	-9	4	-9	4	-9	32	-9	4	-9	4	-9	3	-9
27	1	1	1983	25	2003	2	2	1	1	0	1	1	0	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2.6	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1.66666666666667	-9	1.33333333333333	-9	2	-9
28	2	1	1987	21	2007	2	2	2	4	0	0	1	1	1	1	0	0	4	2	4	2	2	2	4	4	4	4	2	3	6	6	6	6	5	2	3	4.5	4.25	4.5	3.5	4	-9	3	-9	2.25	-9	29	-9	4	-9	3.66666666666667	-9	2.33333333333333	-9
29	4	1	1988	20	2008	2	1	1	3	0	0	0	1	0	1	0	0	5	4	2	2	3	3	3	4	2	4	2	3	3	2	4	6	3	1.4	4.5	4	3.75	3.25	3.75	4.25	-9	3.5	-9	3.5	-9	18	-9	3.66666666666667	-9	3.66666666666667	-9	3.33333333333333	-9
30	1	1	1987	21	2007	2	1	1	2	0	1	1	1	1	1	0	0	4	3	1	1	2	3	3	3	2	2	1	4	5	5	6	7	6	2.9	3.25	4	3.75	3.75	2.5	4.25	2.75	3	4	4	4.25	29	26	3.33333333333333	1	3	2.33333333333333	2.66666666666667	2
31	4	1	1987	21	2007	2	1	1	4	0	1	1	1	1	1	0	0	3	2	4	2	4	2	4	3	3	2	2	3	5	3	5	6	6	3.1	4	3.75	3.5	3	3.5	3.5	-9	2	-9	2.5	-9	25	-9	1.66666666666667	-9	2.66666666666667	-9	3	-9
32	1	2	1972	36	1990	1	2	1	3	1	1	1	1	1	1	0	0	4	4	2	1	1	4	3	5	2	4	1	4	5	5	6	6	5	2.4	3.75	3.5	3.5	3.25	4	4.75	-9	4	-9	4	-9	27	-9	2.66666666666667	-9	2.33333333333333	-9	2.66666666666667	-9
33	4	1	1986	22	2006	2	1	1	3	0	1	0	0	1	1	1	1	2	3	2	2	4	3	4	2	3	3	2	2	6	6	6	6	6	2	4.25	5	5	4.5	4	3	-9	2.5	-9	3	-9	30	-9	3	-9	1	-9	1.66666666666667	-9
34	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	4	5	4	1	3	3	3	4	4	4	1	4	6	6	6	6	7	-9	5	4.75	3.75	2.25	4.75	4.5	4.5	3.75	4	2.75	3	31	24	-9	3	-9	2.33333333333333	-9	2.33333333333333
35	4	2	1988	20	2008	2	2	1	3	0	1	1	0	1	1	0	0	4	3	1	1	1	3	3	4	2	4	1	3	5	7	6	7	7	1.8	2.5	4	5	4	4.75	4.5	-9	3.75	-9	3.75	-9	32	-9	4	-9	3.66666666666667	-9	3	-9
36	1	1	1990	18	2008	2	2	1	1	0	0	1	1	1	1	0	0	3	3	2	1	2	4	2	3	1	3	1	2	4	4	5	5	2	2.1	4.25	3.5	4	3	4.5	4	-9	3.5	-9	3.75	-9	20	-9	3.33333333333333	-9	3	-9	2.66666666666667	-9
37	1	1	1989	19	2008	2	2	1	1	0	1	1	1	1	1	0	0	3	3	5	3	2	2	2	4	4	4	3	2	1	2	2	2	2	2.2	3.5	3.75	4.25	4	3	3.25	2.5	3.75	3.25	1.75	1.75	9	17	3	3	3	2.66666666666667	3	2.33333333333333
38	1	2	1989	19	2008	2	2	1	2	0	0	1	1	1	0	0	0	4	2	3	2	3	4	3	4	2	2	1	3	4	5	6	4	2	2.5	2.75	4	3.25	3.5	2.5	4.25	-9	2.5	-9	3.5	-9	21	-9	3.33333333333333	-9	3.33333333333333	-9	3	-9
39	3	1	1989	19	2008	2	2	1	4	1	1	1	1	1	1	0	0	4	4	2	1	4	3	2	4	2	4	1	4	6	6	7	5	6	1.4	3.25	4	4.5	2.5	3.75	4.5	5	3.5	4.25	3.75	4.5	30	34	4	4	3.66666666666667	3.66666666666667	3.66666666666667	2.66666666666667
40	1	1	1983	25	2002	2	2	1	1	0	0	1	1	1	0	0	0	2	2	3	2	2	2	4	2	2	2	2	4	2	2	2	3	4	2.9	2	3.25	3	4.5	3.25	3	-9	2.5	-9	3.25	-9	13	-9	2.33333333333333	-9	2.33333333333333	-9	2	-9
41	2	2	1988	20	2007	2	1	1	3	0	1	1	1	1	1	0	0	5	3	4	1	3	3	4	5	4	4	2	3	6	6	6	7	5	2.1	3.25	4.25	4.25	3.25	5	4.75	4.5	3	2.25	2.5	4	30	26	4	4	3.33333333333333	2.33333333333333	2.66666666666667	2.66666666666667
42	2	2	1978	30	1998	1	1	1	3	0	1	1	1	1	1	1	1	2	1	4	4	5	3	4	2	3	2	4	2	3	5	3	4	2	3.2	3.25	4.75	4.25	4.75	5	2	-9	1.5	-9	2.5	-9	17	-9	2.66666666666667	-9	2	-9	2.33333333333333	-9
43	3	1	1988	20	2007	2	1	1	3	0	1	0	1	1	1	0	1	3	3	2	2	2	4	3	4	3	3	2	4	5	5	4	5	4	2.8	4.25	4.5	3.25	3.75	4.25	3.75	-9	3.25	-9	3.75	-9	23	-9	2.33333333333333	-9	3	-9	3	-9
44	2	1	1988	20	2008	2	2	1	3	0	1	0	0	1	1	0	0	4	2	2	3	2	3	4	3	4	1	2	1	5	6	4	6	4	2.9	4	4	3.25	4	4	3.5	-9	2.25	-9	2.5	-9	25	-9	1.66666666666667	-9	2.33333333333333	-9	1.66666666666667	-9
45	3	1	1989	19	2007	2	2	1	3	0	0	1	0	0	0	1	1	5	3	4	2	5	3	5	5	2	4	2	2	6	6	6	4	6	2.8	3.25	4.25	5	4.75	3.25	4.5	-9	2.25	-9	2.75	-9	28	-9	4	-9	2.66666666666667	-9	2	-9
