nr	bf01	bf02	bf03	bf04	bf05	bf06	bf07	bf08	bf09	bf10	bf11	bf12	bf13	bf14	bf15	bf16	bf17	bf18	bf19	bf20	sex	alter	nation	schule
1	4	2	4	4	4	4	2	4	4	2	5	5	5	4	3	4	5	4	2	3	2	25	1	3
2	5	4	4	4	4	5	4	3	4	3	4	3	5	3	3	5	4	4	3	4	1	25	1	3
3	3	2	2	4	4	4	1	3	4	5	5	5	3	3	3	3	2	3	5	3	2	20	1	3
4	5	5	3	4	5	4	3	4	5	5	3	4	5	4	5	5	5	5	4	3	1	27	1	3
5	3	4	5	5	3	3	4	5	3	5	5	5	3	3	4	3	3	3	4	4	1	22	2	3
6	4	4	1	3	4	4	2	4	5	3	2	1	3	4	5	3	2	3	1	3	2	27	1	3
7	4	4	3	3	4	4	3	4	4	3	3	2	4	3	4	4	4	3	3	3	1	31	3	3
8	3	3	4	4	4	4	4	4	4	4	4	2	4	4	5	3	5	4	4	3	1	25	1	3
9	3	5	5	5	5	3	2	5	4	2	5	2	4	4	5	4	5	5	2	2	1	20	1	3
10	3	3	2	4	3	3	2	4	3	4	4	4	4	4	4	2	4	3	2	3	2	24	1	3
11	2	4	4	4	3	2	4	3	3	4	5	2	3	3	2	3	3	3	4	5	1	24	1	3
12	2	5	3	5	4	3	3	5	4	5	3	4	3	3	4	2	5	3	5	3	1	19	1	3
13	4	5	4	5	4	3	4	5	4	5	5	5	4	4	4	3	5	4	5	4	1	21	1	3
14	4	4	4	2	5	4	4	3	5	2	5	3	3	4	4	4	3	5	2	2	1	26	1	3
15	4	3	3	4	5	5	4	5	5	4	4	2	2	5	5	2	5	5	2	3	2	26	1	3
16	4	4	4	5	3	4	4	5	3	5	5	4	5	3	4	5	5	3	3	3	2	21	1	3
17	3	3	3	4	3	3	4	3	3	4	4	2	3	3	3	4	3	3	2	4	1	20	1	3
18	3	5	3	4	4	2	3	5	4	3	4	1	2	3	3	2	4	3	5	3	1	24	1	3
19	4	4	3	4	4	4	3	4	3	4	4	4	4	3	3	4	4	3	4	3	1	24	1	3
20	5	5	4	5	5	4	5	5	5	3	5	1	4	4	3	3	4	3	1	4	1	23	1	3
21	5	5	3	5	4	5	3	4	4	5	4	3	4	3	3	4	4	4	5	3	1	20	1	3
22	3	4	3	4	3	3	4	4	4	4	4	4	3	4	4	3	4	4	5	3	1	25	1	3
23	3	5	4	4	5	4	4	4	5	5	3	4	4	4	4	3	4	4	5	4	1	21	1	3
24	3	4	3	4	4	4	3	2	4	4	3	4	4	3	3	4	3	4	4	3	1	20	1	3
25	5	5	5	5	3	5	5	3	3	5	5	4	5	3	3	4	5	3	4	4	2	25	1	3
26	4	4	2	4	4	5	2	2	4	4	4	4	3	4	4	2	3	4	5	2	2	24	1	3
27	3	4	3	4	4	2	3	4	3	4	4	2	3	4	4	2	4	3	4	3	2	35	1	3
28	3	4	5	4	4	3	5	4	5	4	5	3	3	4	4	2	4	4	4	5	1	19	1	3
29	3	4	2	4	4	4	2	5	4	4	5	3	3	4	5	3	5	3	4	4	2	24	1	3
30	4	4	4	4	3	4	3	4	3	4	4	4	4	3	3	4	3	4	3	3	1	22	1	3
31	2	2	3	3	5	4	3	2	5	4	3	3	2	4	5	2	3	4	5	4	1	21	1	3
32	5	4	3	5	4	4	2	4	4	3	3	3	4	3	4	4	4	4	4	2	1	20	1	3
33	4	4	4	4	4	4	4	5	4	4	4	1	3	4	4	2	4	4	4	4	1	23	1	3
34	4	4	3	5	4	5	3	4	4	5	3	4	3	3	4	3	4	3	5	3	1	23	1	3
35	4	4	2	3	4	4	2	4	4	4	3	5	4	2	4	4	4	2	4	1	1	20	1	3
36	4	4	3	4	4	4	3	4	4	2	4	2	4	4	4	4	4	3	3	3	1	21	1	3
37	5	5	4	5	5	5	3	5	5	5	5	2	5	5	5	5	5	4	4	3	1	26	1	3
38	2	4	4	4	3	3	5	5	3	3	5	3	3	4	5	3	5	3	4	4	2	22	1	3
39	4	4	2	4	2	4	4	4	2	2	5	2	4	2	4	2	2	4	2	2	1	30	6	3
40	5	5	3	5	3	4	2	4	4	5	4	3	3	2	5	4	5	3	4	2	1	25	1	3
41	3	4	5	4	4	4	4	4	4	4	5	2	4	3	4	4	4	4	3	4	1	26	1	3
42	4	3	3	4	4	5	4	3	4	4	4	5	4	3	3	3	4	4	2	3	1	25	1	3
43	4	4	2	5	4	3	2	4	4	4	2	5	3	4	5	4	3	3	3	2	1	19	7	2
44	5	5	3	4	3	5	3	5	3	5	4	2	3	3	5	3	5	3	2	3	1	21	1	3
45	2	2	3	4	4	2	3	4	3	4	4	3	3	3	3	3	4	3	3	3	1	23	1	3
46	3	3	4	4	4	3	3	4	4	4	4	5	4	3	3	4	4	3	5	4	1	22	1	3
47	4	4	3	4	3	3	3	4	3	4	4	4	4	3	4	4	4	3	4	2	1	19	1	3
48	3	3	4	4	4	2	3	3	4	4	4	4	2	2	3	2	3	3	4	3	2	30	1	3
49	5	5	5	5	4	3	5	5	4	5	5	4	3	3	5	4	5	3	4	5	1	21	1	3
50	5	5	4	3	4	5	5	5	4	5	5	2	5	4	5	5	5	4	5	5	1	21	1	3
51	3	4	4	4	4	4	4	4	4	4	5	3	4	3	4	3	4	3	2	4	1	24	1	3
52	3	4	1	2	5	4	1	4	5	3	3	2	4	4	4	4	4	4	1	1	1	27	1	3
53	5	4	2	5	2	5	2	5	3	5	4	3	5	5	5	5	5	5	5	1	2	40	1	3
54	4	4	3	4	4	3	3	4	4	3	2	3	4	4	4	3	5	4	3	2	2	28	1	3
55	5	4	3	4	4	5	3	3	5	4	4	3	4	4	4	4	4	4	2	3	1	19	1	3
56	4	3	3	1	4	4	3	4	4	1	3	2	3	3	3	3	3	4	4	3	2	21	1	3
57	2	5	3	5	3	3	3	4	3	4	3	3	3	3	5	4	5	4	5	4	1	19	1	3
58	4	5	5	4	5	3	4	4	5	4	5	3	3	5	5	3	4	5	4	4	1	22	1	3
59	3	4	1	4	3	4	2	4	3	4	2	5	3	4	4	3	4	2	3	2	2	21	1	3
