nr	sex	kind	alter	gs.1	ru.1	gs.2	ru.2	gs.3	ru.3	gruppe
1	1	2	27	3.25	1.25	3.25	2.5	3.25	2.5	1
2	2	1	28	4.5	3.5	4.5	4	4.5	4.5	1
3	1	2	27	5	4.5	4	4	5	5	1
4	1	2	26	4.75	3.25	4.25	3.5	5	5	1
5	1	2	32	4.25	3.25	2.75	2.25	4.5	4.5	1
6	1	2	29	1	1	2.75	1.75	3	3.75	1
7	1	1	32	1.5	1.5	4	4	5	5	1
8	2	2	29	4	3	4.25	3	4.25	4	1
9	1	2	26	2.25	2	3.75	3	3.75	4.25	1
10	1	1	30	2	1	4	2.75	5	4.5	1
11	2	2	36	-99	-99	-99	-99	-99	-99	2
12	1	1	32	4	2.25	4	2.75	5	4.75	1
13	1	2	29	4.5	3	4.25	2.75	4.25	3.25	1
14	1	1	-99	4	2	2.5	1	-99	-99	1
15	2	2	31	2.25	1.75	3	1	4	3.5	1
16	2	2	29	3.5	1	4.75	2.5	5	2.25	1
17	2	2	28	4.25	4	3	3	5	5	1
18	1	2	25	2	1.25	2.25	3	4.75	4.5	1
19	1	2	30	3.25	1.5	3.75	2.5	4.5	4.25	1
20	1	2	32	2.75	2.5	3.5	3.25	4.75	4.5	1
21	1	2	44	4	3.25	4.25	3.75	5	5	1
22	1	1	44	3.25	1.25	4.25	4.5	-99	-99	1
23	1	1	38	1.5	1	3	3.5	3.5	4.5	1
24	1	2	26	4.25	3.75	4	3.5	5	5	1
25	1	2	30	5	3.5	4	1.5	5	5	1
26	1	1	30	2.75	3	3	3.25	5	5	1
27	1	1	42	4.25	3.75	4.5	4.5	4.5	4.5	1
28	2	2	29	4	4.25	4.25	3.25	4.5	5	1
29	1	2	27	5	5	4.5	4.25	5	5	1
30	2	2	32	4.5	4	4.5	4	4.75	3.75	1
31	1	2	28	2.25	1.25	2	1.75	2.5	3.25	1
32	1	2	29	3	2	3.75	2.5	5	4	1
33	2	1	35	3.25	1.5	4.25	2.75	5	4.75	1
34	1	1	33	4.25	2.5	5	4	4	5	1
35	1	2	30	4.5	4.25	4.5	4.25	4.5	5	1
36	1	2	26	2.25	1.5	2.5	1.5	4.5	4.75	1
37	1	2	29	2.5	3.25	4.75	5	5	5	1
38	2	2	28	2.25	1.75	4.25	3.5	3	4	1
39	1	2	29	4	3.25	4.25	3.5	5	5	1
40	2	2	28	4	2.5	3.5	2	5	5	1
41	1	1	34	3.75	2	3.5	2.25	5	5	1
42	1	2	27	3	2.25	3.5	3	1	2.25	1
43	1	2	32	2.25	-99	3.5	2.25	4	4.5	1
44	1	2	29	3.75	3	4.25	4.25	3.5	3.5	1
45	2	2	36	3.75	3.5	3.5	2.25	4.5	4.5	1
46	1	1	26	3	2	-99	2	4	3.5	1
