Testergebnis,Klassentyp
583,3
577,3
614,2
616,3
587,3
644,2
585,2
599,3
590,3
572,3
583,1
540,2
564,1
665,2
593,2
543,2
587,3
610,2
560,2
569,2
600,2
590,2
614,1
631,3
650,2
552,2
543,3
538,3
582,3
590,3
583,1
633,2
614,1
610,1
600,2
604,3
612,1
582,3
610,2
639,3
606,3
552,3
578,3
572,2
639,2
573,3
610,3
580,3
565,1
600,3
599,3
610,3
661,2
657,3
595,3
608,2
608,1
650,1
624,2
543,3
572,1
565,3
644,1
713,3
562,3
624,2
686,1
654,2
575,2
622,2
597,3
599,3
564,2
554,2
562,1
647,2
572,3
618,3
602,1
562,2
626,3
604,2
599,2
670,1
602,2
606,2
606,3
657,3
572,3
557,2
569,1
549,2
592,3
577,1
600,1
593,3
624,1
582,2
631,3
657,3
572,3
592,2
616,1
693,1
587,2
587,3
602,2
620,1
578,2
573,3
644,3
629,2
624,1
618,2
550,2
661,3
644,3
629,3
595,1
575,3
639,1
535,1
608,1
665,2
631,2
686,3
580,3
590,3
587,3
626,1
639,3
665,1
543,2
597,1
582,2
560,2
549,3
610,3
565,3
622,2
614,2
636,2
583,3
572,3
595,2
614,2
582,2
608,3
604,2
545,1
595,2
582,1
560,1
618,3
657,2
554,3
614,3
702,3
647,1
554,2
616,1
536,1
639,2
636,1
616,3
620,3
578,1
612,3
713,3
631,2
606,2
693,1
629,2
647,2
675,2
592,1
633,3
583,3
618,1
661,1
644,2
552,1
593,3
612,2
636,1
547,2
675,3
644,1
713,1
639,3
644,1
641,1
533,3
626,2
622,1
650,1
572,3
582,3
529,3
693,1
606,3
614,3
572,1
583,1
554,1
559,2
753,2
610,2
577,3
567,2
583,1
570,1
604,3
614,1
560,2
618,1
597,2
629,3
616,2
647,3
595,1
639,3
555,2
665,1
606,2
657,3
728,3
573,3
608,3
618,1
540,2
608,2
560,3
569,3
587,3
565,1
572,1
555,1
600,2
657,2
606,2
531,3
575,2
604,3
650,1
618,2
602,2
654,3
665,1
600,1
644,3
636,1
597,3
702,1
702,1
618,2
557,1
542,1
592,3
686,2
573,3
614,3
597,3
587,1
636,1
549,2
604,3
554,1
547,1
633,3
618,3
573,2
618,2
599,2
620,1
592,2
641,1
629,1
614,3
633,2
583,1
665,2
618,2
654,3
564,3
639,2
620,1
588,2
604,3
588,3
629,1
629,2
728,3
547,2
599,1
624,2
602,2
618,3
614,3
536,3
573,3
529,2
639,3
585,2
602,2
650,2
595,1
572,2
608,1
565,1
604,3
629,3
570,3
593,2
593,1
608,2
618,2
610,3
618,2
608,1
562,3
599,3
631,2
614,3
580,3
608,2
606,2
629,3
641,3
597,1
616,3
593,3
616,3
597,2
612,1
616,1
555,1
636,1
587,3
610,2
675,3
582,2
713,1
590,2
629,2
567,3
624,3
582,1
661,3
557,1
618,3
593,2
626,3
572,2
661,2
612,1
618,3
629,1
565,3
647,3
604,2
618,2
618,1
641,1
593,2
602,2
585,3
582,3
713,1
616,1
587,2
600,1
608,2
657,3
602,1
693,1
555,3
592,2
602,2
620,2
657,2
552,3
595,3
583,3
572,2
600,2
573,3
597,2
565,3
654,2
622,2
644,3
560,3
577,3
573,2
595,3
650,3
587,3
572,1
511,1
587,1
641,1
629,3
657,3
595,1
647,2
533,3
599,2
529,1
567,2
639,3
545,2
614,2
604,3
612,1
657,3
610,1
587,3
614,3
639,3
608,2
650,3
626,2
693,2
602,3
633,1
606,3
565,3
570,3
572,2
629,2
657,1
560,1
616,2
616,3
538,3
564,1
578,1
567,2
567,3
610,1
620,3
567,3
554,2
555,3
560,2
620,3
559,3
592,2
585,1
542,2
573,2
535,1
599,1
597,2
569,3
641,3
562,3
587,1
575,3
631,2
529,1
587,3
604,1
602,1
629,1
577,3
569,1
588,1
610,2
606,2
555,2
593,3
644,2
559,3
555,1
587,3
577,1
585,2
582,1
592,2
588,2
599,3
572,3
636,3
560,1
631,1
555,3
631,3
626,1
590,1
549,3
636,1
573,1
562,2
582,3
620,2
592,3
629,1
600,3
552,2
612,3
597,3
569,3
600,1
614,1
569,1
535,1
604,1
620,1
620,1
564,1
575,3
595,1
540,3
597,2
554,3
633,3
639,2
606,2
565,2
626,1
618,1
593,1
585,3
577,3
554,3
552,1
560,1
564,2
599,2
626,3
590,3
631,2
624,3
585,2
585,3
593,3
587,1
575,2
569,2
573,2
597,1
610,2
602,3
569,2
616,3
590,1
559,2
600,1
559,1
549,3
606,2
610,3
565,2
585,2
499,3
577,3
614,1
545,2
631,3
564,2
550,3
587,1
577,3
569,3
547,3
552,3
565,3
610,3
560,1
549,1
618,2
602,3
573,2
572,3
626,2
582,3
600,3
562,2
650,3
616,3
564,2
593,3
543,1
606,2
641,2
538,3
550,3
559,2
600,1
565,1
592,1
562,3
569,3
562,3
570,2
572,2
629,3
592,2
647,2
580,3
573,2
624,2
650,2
557,2
593,1
508,2
606,3
573,3
641,1
572,2
592,2
599,2
622,3
588,2
593,2
533,2
693,2
577,1
590,3
597,1
545,2
606,2
728,2
633,2
573,2
728,1
538,2
593,2
565,3
573,3
654,3
573,3
644,3
633,2
686,1
570,2
614,2
680,2
595,3
629,3
644,2
600,1
593,2
665,1
570,1
657,1
595,1
597,3
590,2
573,3
593,3
693,1
572,3
580,2
554,3
585,3
529,1
633,2
606,3
593,3
582,1
575,1
633,3
614,1
641,3
600,1
620,1
624,3
572,3
636,2
560,1
562,3
545,1
570,1
593,3
626,2
608,1
543,1
644,3
578,3
600,1
547,3
614,3
593,1
587,2
597,3
565,1
577,1
557,2
567,3
647,3
580,2
665,1
641,3
575,2
602,1
599,3
567,1
573,2
588,3
531,3
610,2
578,2
639,2
582,3
565,3
612,3
572,1
599,1
600,3
620,3
610,3
593,2
562,3
587,3
555,3
567,3
631,2
641,3
670,1
626,1
612,2
573,3
644,3
572,3
562,3
580,1
560,3
565,3
570,3
629,3
629,1
650,1
588,2
552,1
559,3
654,2
636,2
633,3
567,3
543,3
599,3
629,2
572,1
675,1
554,1
588,3
595,2
578,3
600,1
641,1
577,3
775,1
600,1
620,2
604,3
661,2
618,2
624,3
499,2
670,3
602,2
639,1
631,2
554,3
633,2
599,3
569,2
559,1
612,2
675,3
614,1
562,3
612,3
606,1
583,1
612,2
599,1
624,3
578,3
536,1
620,1
629,2
593,1
575,3
631,3
606,2
661,3
622,2
604,3
612,3
562,2
618,1
606,2
542,1
564,2
633,1
636,3
572,3
610,3
592,2
593,3
578,1
575,2
538,2
597,3
612,1
531,3
597,2
564,3
575,3
588,3
616,1
588,3
536,2
650,3
578,2
620,3
583,2
592,1
654,3
583,2
641,2
597,1
606,3
675,1
565,2
626,2
536,3
620,1
675,3
559,3
616,3
595,2
545,3
592,3
606,1
565,3
549,2
602,3
587,3
580,3
597,1
604,3
580,3
624,3
577,1
713,1
600,2
616,2
588,2
654,3
564,3
585,3
533,3
545,1
575,2
588,3
693,3
572,3
622,3
614,2
624,1
620,3
602,2
624,2
595,1
573,1
604,1
560,3
593,1
599,2
616,1
602,2
686,3
620,3
588,2
631,1
626,3
624,1
614,2
572,3
573,3
633,3
575,1
612,1
614,3
590,3
578,2
540,1
593,3
587,1
620,3
633,2
517,2
545,1
578,1
562,3
616,1
595,3
600,2
582,3
547,2
595,3
608,2
633,2
644,2
523,2
606,2
686,3
582,2
517,3
593,3
608,3
626,2
595,2
590,1
582,3
631,1
592,3
606,3
580,2
554,1
593,3
620,3
618,1
622,2
572,1
614,1
633,2
592,3
670,3
583,1
629,3
593,2
693,3
599,2
610,3
602,3
600,2
620,1
661,1
592,1
661,2
562,2
597,2
606,3
675,1
577,2
702,3
636,2
633,2
572,2
606,1
570,1
582,1
587,1
624,2
629,3
610,2
614,1
626,2
580,1
608,1
588,3
654,2
626,2
572,1
567,1
559,2
675,1
572,2
665,1
573,3
560,2
641,2
533,1
567,2
657,3
620,3
639,2
592,2
549,1
604,1
592,2
618,3
569,2
620,3
588,2
554,1
564,1
620,2
616,1
610,2
606,2
670,2
670,1
626,2
629,3
560,3
624,3
654,1
606,1
573,3
629,1
686,1
693,1
572,1
657,2
631,2
657,1
585,3
557,2
614,1
644,3
614,3
636,3
547,2
647,1
606,2
567,1
587,1
614,3
572,2
604,3
686,2
612,1
647,3
639,2
595,2
599,2
555,3
626,2
624,1
608,2
597,2
606,3
614,1
616,1
597,3
578,1
580,2
610,2
654,3
585,2
580,3
616,1
661,1
588,2
622,3
577,2
543,2
680,3
644,2
585,3
639,2
622,1
606,1
570,2
641,3
644,3
618,3
610,1
626,2
629,2
588,1
600,1
577,3
525,3
577,2
606,3
618,3
555,2
580,2
713,1
593,1
578,3
575,1
542,1
543,3
614,2
575,3
636,2
675,3
557,3
629,1
606,3
595,1
529,1
680,3
599,3
540,2
582,3
622,1
602,1
602,3
595,2
693,2
612,3
612,1
680,1
616,3
575,2
661,1
542,2
